t,p_0_x,p_0_y,p_0_z,p_1_x,p_1_y,p_1_z,p_2_x,p_2_y,p_2_z,p_3_x,p_3_y,p_3_z,p_4_x,p_4_y,p_4_z,pd_4_x,pd_4_y,pd_4_z,error_of_sec_4
4.500000000000000111e-01,6.994067021342997847e-02,3.639842509667777504e-03,1.477163985823897185e-01,2.110554744815544836e-01,3.185944374953126462e-02,2.671006956775558439e-01,2.842643303604919791e-01,7.524573962601448229e-02,4.311000285808954668e-01,2.472405406126872429e-01,1.067874450970104361e-01,6.108134077064669709e-01,1.451316175258082763e-01,1.217530124022309368e-01,7.678986469181331431e-01,1.561413902264893738e-01,1.249794633455399845e-01,7.500000000000000000e-01,2.125997747200687044e-02
4.600000000000000200e-01,7.061064408696905714e-02,3.827059066235854318e-03,1.481661502665211072e-01,2.126504449565729815e-01,3.293321933767937720e-02,2.675554255837636619e-01,2.857218686397904883e-01,7.749591886825313303e-02,4.322689692392885918e-01,2.480841573810987910e-01,1.097127013825128228e-01,6.126926577396999418e-01,1.456940982061674938e-01,1.250091466509510585e-01,7.706483948958466890e-01,1.542492029994213254e-01,1.273074364443936013e-01,7.500000000000000000e-01,2.246838146758738802e-02
4.700000000000000289e-01,7.134012771126181651e-02,3.990117543696308083e-03,1.485721804588835959e-01,2.144199928300630775e-01,3.397245854902795903e-02,2.678176404170451441e-01,2.874739048816350451e-01,7.972842540900250408e-02,4.331732872286214731e-01,2.492462220372593240e-01,1.126158115479430344e-01,6.143044049658840100e-01,1.465208449495099541e-01,1.282086314050107645e-01,7.730965652343941841e-01,1.523223103524123379e-01,1.296067659071214739e-01,7.500000000000000000e-01,2.385504362883647533e-02
4.799999999999999822e-01,7.213345530264034244e-02,4.125458880533059911e-03,1.489304944491088301e-01,2.163721378065434631e-01,3.497070553064976495e-02,2.678751311832522908e-01,2.895146831324642012e-01,8.193723994155928392e-02,4.338048155338523060e-01,2.506743151439684292e-01,1.154810561069186947e-01,6.156311116655461824e-01,1.474986425515597555e-01,1.313145197883126003e-01,7.751885057862963890e-01,1.503611458281790270e-01,1.318769343942946259e-01,7.500000000000000000e-01,2.535687399787214802e-02
4.899999999999999911e-01,7.299247261030056277e-02,4.230362601471387984e-03,1.492385545490668430e-01,2.185077999356929146e-01,3.592303722733547477e-02,2.677216115673730079e-01,2.918299297535724701e-01,8.411756510430350164e-02,4.341621384330245359e-01,2.523146804958201761e-01,1.182945197930206499e-01,6.166634698079629384e-01,1.485249992563717480e-01,1.342941227633712153e-01,7.768853075906969607e-01,1.483661506804656305e-01,1.341174311275807607e-01,7.500000000000000000e-01,2.688635745225844559e-02
5.000000000000000000e-01,7.391650896821308492e-02,4.303026929790454425e-03,1.494953581399368625e-01,2.208207896016979588e-01,3.682621998228739757e-02,2.673570006747325589e-01,2.943968837629251656e-01,8.626603440454523597e-02,4.342509748755190024e-01,2.541124652249346916e-01,1.210446080669022179e-01,6.174007500357485689e-01,1.495089523869588266e-01,1.371200549082749465e-01,7.781638074767321944e-01,1.463377737747641738e-01,1.363277520046668190e-01,7.500000000000000000e-01,2.835285116646900708e-02
5.100000000000000089e-01,7.490236758469250022e-02,4.342683334831598171e-03,1.497015374336383986e-01,2.232978934411093408e-01,3.767892292291465106e-02,2.667877894306116549e-01,2.971844327860324597e-01,8.838096458508035158e-02,4.340846488912953882e-01,2.560120560502709419e-01,1.237226151845358252e-01,6.178512041242256725e-01,1.503718957743637175e-01,1.397713782648515035e-01,7.790167083192454101e-01,1.442764714873212561e-01,1.385073997126802792e-01,7.500000000000000000e-01,2.967694729421443967e-02
5.200000000000000178e-01,7.594433514313496392e-02,4.349747592661327295e-03,1.498594801282470412e-01,2.259190576791559601e-01,3.848199127501571865e-02,2.660274819171842831e-01,3.001533598428701710e-01,9.046265118792298776e-02,4.336846350732299626e-01,2.579575109274909739e-01,1.263233529647806996e-01,6.180325600709675182e-01,1.510483683849662973e-01,1.422348719457114108e-01,7.794529698410056495e-01,1.421827076024554659e-01,1.406558838400820410e-01,7.500000000000000000e-01,3.079887298268327647e-02
5.300000000000000266e-01,7.703421012762910747e-02,4.326006723981973626e-03,1.499734682206279590e-01,2.286576616262831207e-01,3.923877811139813571e-02,2.650970964848264333e-01,3.032566920416939205e-01,9.251370390299187840e-02,4.330811607386146900e-01,2.598930660276089766e-01,1.288458434351265613e-01,6.179726291775723412e-01,1.514867354055614845e-01,1.445064389813537631e-01,7.794985616151623997e-01,1.400569532082079627e-01,1.427727209870073843e-01,7.500000000000000000e-01,3.168297392175160876e-02
5.400000000000000355e-01,7.816134759209840410e-02,4.274838041374693157e-03,1.500498302336855660e-01,2.314808654456276538e-01,3.995552793748447656e-02,2.640257042756540828e-01,3.064401320757473846e-01,9.453941515795703798e-02,4.323138374686942287e-01,2.617636904853158364e-01,1.312940730583695981e-01,6.177100230429616312e-01,1.516497051688191766e-01,1.465926465209811125e-01,7.791976096967418997e-01,1.378996865903494018e-01,1.448574348740285234e-01,7.500000000000000000e-01,3.231987596466391610e-02
5.500000000000000444e-01,7.931271613279836097e-02,4.201452818776789042e-03,1.500971002175970903e-01,2.343500064423057194e-01,4.064179950466013241e-02,2.628509764766596701e-01,3.096425417205725950e-01,9.654815162320667943e-02,4.314322867133982831e-01,2.635156525199436328e-01,1.336777997041414257e-01,6.172949571087000820e-01,1.515146374241277960e-01,1.485123785771750304e-01,7.786139061107633097e-01,1.357113931247679595e-01,1.469095564493157202e-01,7.500000000000000000e-01,3.272716290903295716e-02
